Longitude,Latitude,Loc_ID,Type
120.7756364,17.72542033,Abra-San Juan-Abualan,Village
120.7491127,17.68316472,Abra-San Juan-Ba-Ug,Village
120.7341538,17.67791746,Abra-San Juan-Badas,Village
120.7232968,17.70968383,Abra-San Juan-Cabcaborao,Village
120.7261699,17.66975825,Abra-San Juan-Colabaoan,Village
120.7445032,17.69651056,Abra-San Juan-Culiong,Village
120.7233877,17.6773258,Abra-San Juan-Daoidao,Village
120.729619,17.68036755,Abra-San Juan-Guimba,Village
120.7330984,17.67335677,Abra-San Juan-Lam-Ag,Village
120.7361878,17.66809395,Abra-San Juan-Lumobang,Village
120.7366458,17.70109361,Abra-San Juan-Nangobongan,Village
120.7219914,17.66948928,Abra-San Juan-Pattaoig,Village
120.7294912,17.68901758,Abra-San Juan-Poblacion North,Village
120.734312,17.68590369,Abra-San Juan-Poblacion South,Village
120.7246031,17.72581663,Abra-San Juan-Quidaoen,Village
120.7242136,17.68263111,Abra-San Juan-Sabangan,Village
120.7418897,17.7196029,Abra-San Juan-Silet,Village
120.7663568,17.67659216,Abra-San Juan-Supi-Il,Village
120.7160099,17.6911822,Abra-San Juan-Tagaytay,Village
120.4983232,17.52953698,Abra-San Quintin-Labaan,Village
120.5144808,17.55120043,Abra-San Quintin-Palang,Village
120.5516795,17.50121599,Abra-San Quintin-Pantoc,Village
120.518718,17.53971684,Abra-San Quintin-Poblacion,Village
120.4938426,17.50273297,Abra-San Quintin-Tangadan,Village
120.5319475,17.52439407,Abra-San Quintin-Villa Mercedes,Village
120.6944022,17.61954011,Abra-Tayum-Bagalay,Village
120.7040862,17.59247793,Abra-Tayum-Basbasa,Village
120.6796718,17.60488011,Abra-Tayum-Budac,Village
120.7126336,17.61380719,Abra-Tayum-Bumagcat,Village
120.637343,17.61793633,Abra-Tayum-Cabaroan,Village
120.6639446,17.6225115,Abra-Tayum-Deet,Village
120.6789773,17.62332275,Abra-Tayum-Gaddani,Village
120.6501895,17.60386631,Abra-Tayum-Patucannay,Village
120.6642328,17.59858029,Abra-Tayum-Pias,Village
120.654023,17.61843654,Abra-Tayum-Poblacion,Village
120.6855407,17.58361273,Abra-Tayum-Velasco,Village
120.8403857,17.76703357,Abra-Tineg-Alaoa,Village
120.9188763,17.91694919,Abra-Tineg-Anayan,Village
120.8303404,17.7152587,Abra-Tineg-Apao,Village
120.9335221,17.82405813,Abra-Tineg-Belaat,Village
120.8091182,17.86068523,Abra-Tineg-Caganayan,Village
121.0329057,17.79128083,Abra-Tineg-Cogon,Village
120.8939857,17.79302599,Abra-Tineg-Lanec,Village
120.9356591,17.75742419,Abra-Tineg-Lapat-Balantay,Village
120.9487036,17.85725271,Abra-Tineg-Naglibacan,Village
120.9399053,17.792307,Abra-Tineg-Poblacion,Village
120.7709679,17.21787366,Abra-Tubo-Alangtin,Village
120.7743539,17.31881444,Abra-Tubo-Amtuagan,Village
120.7094123,17.18175227,Abra-Tubo-Dilong,Village
120.8625636,17.27296396,Abra-Tubo-Kili,Village
120.7398396,17.26066473,Abra-Tubo-Poblacion,Village
120.7018703,17.22665556,Abra-Tubo-Supo,Village
120.8005213,17.19214459,Abra-Tubo-Tabacda,Village
120.7633552,17.2704402,Abra-Tubo-Tiempo,Village
120.7596346,17.17831799,Abra-Tubo-Tubtuba,Village
120.7194102,17.25117348,Abra-Tubo-Wayangan,Village
120.6487248,17.4526073,Abra-Villaviciosa-Ap-Apaya,Village
120.6218559,17.34103324,Abra-Villaviciosa-Bol-Lilising,Village
120.6591663,17.41128491,Abra-Villaviciosa-Cal-Lao,Village
120.6488922,17.4459786,Abra-Villaviciosa-Lap-Lapog,Village
120.6472515,17.46245144,Abra-Villaviciosa-Lumaba,Village
120.6497348,17.4357926,Abra-Villaviciosa-Poblacion,Village
120.6141695,17.32464371,Abra-Villaviciosa-Tamac,Village
120.6392131,17.37616485,Abra-Villaviciosa-Tuquib,Village
125.4475069,8.974446258,Agusan del Norte-Buenavista-Abilan,Village
125.390599,8.949513969,Agusan del Norte-Buenavista-Agong-Ong,Village
125.4436146,8.910833806,Agusan del Norte-Buenavista-Alubijid,Village
125.3614582,8.856880341,Agusan del Norte-Buenavista-Guinabsan,Village
125.3805514,8.799439195,Agusan del Norte-Buenavista-Lower Olave,Village
125.3837596,8.915782177,Agusan del Norte-Buenavista-Macalang,Village
125.4286143,8.928726628,Agusan del Norte-Buenavista-Malapong,Village
125.4075799,8.947444388,Agusan del Norte-Buenavista-Malpoc,Village
125.4381826,8.968832859,Agusan del Norte-Buenavista-Manapa,Village
125.4235744,8.964617446,Agusan del Norte-Buenavista-Matabao,Village
125.4092697,8.962564023,Agusan del Norte-Buenavista-Poblacion 1,Village
125.4154788,8.975861041,Agusan del Norte-Buenavista-Poblacion 10,Village
125.4015684,8.962316132,Agusan del Norte-Buenavista-Poblacion 2,Village
125.4104093,8.966514256,Agusan del Norte-Buenavista-Poblacion 3,Village
125.4016061,8.965829426,Agusan del Norte-Buenavista-Poblacion 4,Village
125.4017174,8.969499489,Agusan del Norte-Buenavista-Poblacion 5,Village
125.4077437,8.971288534,Agusan del Norte-Buenavista-Poblacion 6,Village
125.4039653,8.975883089,Agusan del Norte-Buenavista-Poblacion 7,Village
125.4130658,8.972834701,Agusan del Norte-Buenavista-Poblacion 8,Village
125.4067561,8.979213759,Agusan del Norte-Buenavista-Poblacion 9,Village
125.41168,8.918029636,Agusan del Norte-Buenavista-Rizal,Village
125.3955129,8.975938964,Agusan del Norte-Buenavista-Sacol,Village
125.3618439,8.823111875,Agusan del Norte-Buenavista-Sangay,Village
125.3573101,8.776498303,Agusan del Norte-Buenavista-Simbalan,Village
125.4280731,8.948739841,Agusan del Norte-Buenavista-Talo-Ao,Village
125.5598718,8.960683328,Agusan del Norte-Butuan City-Agao Poblacion,Village
125.5330926,8.98228937,Agusan del Norte-Butuan City-Agusan Pequeno,Village
125.5081095,8.976258736,Agusan del Norte-Butuan City-Ambago,Village
125.5597918,8.878496624,Agusan del Norte-Butuan City-Amparo,Village
125.6231297,8.979502922,Agusan del Norte-Butuan City-Ampayon,Village
125.6914071,9.032949603,Agusan del Norte-Butuan City-Anticala,Village
125.6521855,8.970329384,Agusan del Norte-Butuan City-Antongalon,Village
125.5766974,8.900066941,Agusan del Norte-Butuan City-Aupagan,Village
