barangay,municipality,province,case_status,date,case_status_fct,case_type,year,island
Tacligan,San Teodoro,Oriental Mindoro,Probable,25/10/2023,Probable (Animal),Animal,2023,Oriental Mindoro
Malayong,Gloria,Oriental Mindoro,Confirmed,20/10/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bigaan,San Teodoro,Oriental Mindoro,Confirmed,15/11/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
San Isidro,Puerto Galera,Oriental Mindoro,Confirmed,11/11/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bigaan,San Teodoro,Oriental Mindoro,Confirmed,10/01/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion,Bansud,Oriental Mindoro,Confirmed,16/01/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Balatero,Puerto Galera,Oriental Mindoro,Confirmed,25/01/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Canubing I,Calapan City,Oriental Mindoro,Confirmed,12/02/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion I,Victoria,Oriental Mindoro,Confirmed,13/03/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Bagumbayan,Roxas,Oriental Mindoro,Confirmed,26/03/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion,Mansalay,Oriental Mindoro,Confirmed,29/03/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Baruyan,Calapan City,Oriental Mindoro,Confirmed,09/04/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
B. Del Mundo,Mansalay,Oriental Mindoro,Confirmed,26/04/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Santa Brigida,Mansalay,Oriental Mindoro,Confirmed,07/05/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
